external_id,name,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,sugar_g_per_100g,default_portion_g,default_portion_label
TACO-732,Pastel de queijo frito,350,10,32,20.5,1,600,1,80,1 unidade média
TACO-733,Empada de frango,380,8.5,34,23.5,1.2,540,2,60,1 unidade
TACO-734,Esfiha de carne aberta,260,10.5,34,9,1.5,520,3,80,1 unidade
TACO-735,Quibe frito,255,13,15,15.5,1.8,580,0.8,80,1 unidade
TACO-736,Quibe assado,190,13.5,14,9,2,520,0.8,120,1 fatia
TACO-737,Enroladinho de salsicha,320,8,36,15.5,1.4,650,3,70,1 unidade
TACO-738,Bolinho de bacalhau,270,12,21,15,1.2,640,0.5,60,2 unidades
TACO-739,Torta salgada de frango (fatia),265,9.5,22,15.5,1,480,2,120,1 fatia média
TACO-740,Sanduíche natural de frango,190,10,20,7.5,1.8,380,2.5,150,1 unidade
TACO-741,Misto quente,270,12.5,28,12,1.5,720,4,110,1 unidade
TACO-742,Hambúrguer caseiro (pão + carne + queijo),260,13,24,12.5,1.4,560,4.5,180,1 unidade
TACO-743,X-salada de lanchonete,245,11.5,23,12,1.5,540,4.5,220,1 unidade
TACO-744,Cachorro-quente completo,265,9,29,12.5,1.5,780,5,200,1 unidade
TACO-745,Pizza de muçarela (fatia),270,11.5,31,11.5,1.8,600,3.5,125,1 fatia grande
TACO-746,Pizza de calabresa (fatia),290,12,30,14,1.7,720,3.2,125,1 fatia grande
TACO-747,Pizza de frango com catupiry (fatia),275,13,29,12,1.6,640,3.4,125,1 fatia grande
TACO-748,Tapioca com queijo,190,6,29,5.5,0.8,290,0.5,120,1 unidade
TACO-749,Açaí com granola e banana,130,1.8,24,3.4,2.4,10,16,300,1 tigela média
TACO-760,Bolo de banana,270,4.2,45,8.5,1.8,210,26,80,1 fatia média
TACO-761,Bolo de cenoura com cobertura de chocolate,360,4.5,52,15,1.2,240,34,80,1 fatia média
TACO-762,Bolo de chocolate simples,340,5,51,13,1.5,250,30,80,1 fatia média
TACO-763,Bolo de fubá,330,5.5,52,11,1,260,26,80,1 fatia média
TACO-764,Bolo de laranja,320,4.8,50,11.5,0.9,230,28,80,1 fatia média
TACO-765,Bolo de milho,310,5,49,10.5,1.4,240,24,80,1 fatia média
TACO-766,Bolo simples (massa branca),315,5,50,10.5,0.8,240,27,80,1 fatia média
TACO-767,Bolo de banana fit (aveia e sem açúcar),220,6,35,6.5,3.2,120,12,80,1 fatia média
TACO-768,Brigadeiro,330,3.5,58,10,1,60,50,20,1 unidade
TACO-769,Beijinho,335,2.8,56,11.5,1.2,65,49,20,1 unidade
TACO-770,Pudim de leite condensado,197,5.4,33,5.4,0,90,31,110,1 fatia
TACO-771,Mousse de maracujá,235,3.5,26,13.5,0.3,75,24,100,1 taça pequena
TACO-772,Pavê de chocolate,290,4.5,34,15.5,0.8,120,26,100,1 fatia
TACO-773,Sorvete de creme,207,3.5,24,11,0,80,21,60,1 bola
TACO-774,Açúcar refinado,387,0,99.5,0,0,0,99.5,5,1 colher de chá
TACO-775,Mel de abelha,309,0.4,84,0,0,4,82,10,1 colher de sopa
TACO-776,Chocolate ao leite,540,7.2,59.5,30.3,2.2,80,52,25,1 barra pequena
TACO-777,Chocolate 70% cacau,580,9,34,44,10,20,24,25,1 barra pequena
TACO-778,Doce de leite,306,6.8,55,6.5,0,130,50,20,1 colher de sopa
TACO-779,Goiabada,270,0.5,70,0.1,3.5,25,60,30,1 fatia fina
TACO-780,Paçoca de amendoim,470,15,47,25,3.5,110,32,22,1 unidade
TACO-781,Rapadura,352,1,90,0.1,0,20,85,20,1 pedaço pequeno
TACO-782,Gelatina pronta,60,1.1,14,0,0,55,13,110,1 pote
TACO-783,Cookie com gotas de chocolate,480,5.5,64,22,2,300,32,30,2 unidades
TACO-784,Sonho de padaria,300,6,40,13,1,240,16,90,1 unidade
TACO-785,Churros com doce de leite,390,5,52,18,1.3,220,28,80,1 unidade
TACO-800,Café coado sem açúcar,2,0.1,0.4,0,0,2,0,150,1 xícara
TACO-801,Água de coco,22,0.1,5.3,0,0,25,5.3,200,1 copo
TACO-802,Café com leite sem açúcar,32,1.7,2.5,1.7,0,21,2.5,200,1 xícara grande
TACO-803,Suco de laranja natural,42,0.7,9.6,0.1,0.2,1,8.6,250,1 copo
TACO-804,Suco de limão adoçado (limonada),40,0.1,10.5,0,0.1,2,10,250,1 copo
TACO-805,Suco de uva integral,57,0.3,14.1,0,0.1,3,13.5,250,1 copo
TACO-806,Vitamina de banana com leite,90,3,15.5,1.8,0.8,35,11.5,300,1 copo grande
TACO-807,Refrigerante de cola,42,0,10.5,0,0,5,10.5,350,1 lata
TACO-808,Refrigerante zero,0,0,0,0,0,15,0,350,1 lata
TACO-809,Guaraná,39,0,10,0,0,6,10,350,1 lata
TACO-810,Cerveja pilsen,41,0.5,3.3,0,0,4,0,350,1 lata
TACO-811,Vinho tinto seco,83,0.1,2.6,0,0,4,0.6,125,1 taça
TACO-812,Cachaça,231,0,0,0,0,1,0,50,1 dose
TACO-813,Chá mate sem açúcar,3,0,0.6,0,0,2,0,200,1 copo
TACO-814,Chá verde sem açúcar,1,0,0.2,0,0,1,0,200,1 xícara
TACO-815,Isotônico,26,0,6.4,0,0,45,6,500,1 garrafa
TACO-816,Energético,45,0,11,0,0,100,11,250,1 lata
TACO-817,Leite de coco,166,1,2.2,17,0,10,1.9,50,3 colheres de sopa
TACO-818,Bebida vegetal de amêndoas,24,0.5,3,1.1,0.3,60,2.5,200,1 copo
TACO-819,Bebida vegetal de aveia,45,0.8,7.5,1.3,0.8,40,4,200,1 copo
TACO-830,Macarrão instantâneo preparado (com tempero),190,4,26,7.5,1,880,1,90,meio pacote
TACO-831,Nhoque de batata cozido,155,4,32,1,1.5,300,0.7,200,1 prato raso
TACO-832,Macarrão parafuso cozido (sem molho),138,4.5,28.5,0.6,1.5,1,0.5,150,1 escumadeira
TACO-833,Massa de panqueca (unidade sem recheio),140,5,18,5,0.5,150,2,50,1 unidade
TACO-834,Polenta cozida,70,1.5,15.5,0.3,1.2,120,0.3,150,1 porção média
TACO-835,Polenta frita,190,2.5,30,6.5,1.5,220,0.4,120,1 porção pequena
TACO-836,Wrap/rap10 integral,300,9,50,7,4.5,620,3,45,1 unidade
TACO-840,Peito de frango cru (para receitas),120,23,0,1.9,0,55,0,100,1 filé
TACO-841,Patinho moído cru (para receitas),133,21.5,0,5.3,0,60,0,100,100 gramas
TACO-842,Clara de ovo,48,10.9,0.7,0,0,160,0.7,35,1 clara
TACO-843,Gema de ovo,353,15.7,1.6,30.9,0,50,0.5,18,1 gema
